0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000003,-0.000027,0.000033,0.000020,0.000000,-0.000026
0.000012,-0.000110,0.000134,0.000081,0.000000,-0.000104
0.000027,-0.000247,0.000301,0.000182,0.000000,-0.000235
0.000048,-0.000438,0.000534,0.000323,0.000000,-0.000417
0.000075,-0.000683,0.000833,0.000503,0.000001,-0.000652
0.000108,-0.000982,0.001198,0.000724,0.000001,-0.000938
0.000146,-0.001335,0.001628,0.000983,0.000002,-0.001275
0.000191,-0.001739,0.002123,0.001281,0.000002,-0.001665
0.000242,-0.002198,0.002683,0.001618,0.000003,-0.002103
0.000298,-0.002709,0.003306,0.001995,0.000004,-0.002592
0.000361,-0.003272,0.003993,0.002409,0.000004,-0.003131
0.000429,-0.003886,0.004743,0.002861,0.000005,-0.003718
0.000503,-0.004551,0.005555,0.003351,0.000007,-0.004355
0.000583,-0.005267,0.006428,0.003878,0.000008,-0.005039
0.000669,-0.006032,0.007361,0.004444,0.000009,-0.005773
0.000761,-0.006900,0.008518,0.004833,0.000011,-0.006451
0.000858,-0.007764,0.009572,0.005469,0.000012,-0.007277
0.000962,-0.008676,0.010684,0.006141,0.000014,-0.008150
0.001071,-0.009635,0.011855,0.006847,0.000026,-0.009067
0.001186,-0.010706,0.013280,0.007332,0.000019,-0.009906
0.001307,-0.011758,0.014564,0.008106,0.000021,-0.010912
0.001433,-0.012856,0.015903,0.008915,0.000024,-0.011962
0.001566,-0.013998,0.017297,0.009756,0.000027,-0.013055
0.001704,-0.015184,0.018743,0.010632,0.000030,-0.014191
0.001848,-0.016414,0.020243,0.011539,0.000034,-0.015367
0.001997,-0.017686,0.021793,0.012479,0.000037,-0.016586
0.002153,-0.018999,0.023392,0.013452,0.000041,-0.017845
0.002314,-0.020437,0.025296,0.014124,0.000046,-0.018983
0.002481,-0.021830,0.026991,0.015162,0.000051,-0.020323
0.002654,-0.023259,0.028721,0.016247,0.000056,-0.021709
0.002832,-0.024726,0.030497,0.017361,0.000062,-0.023132
0.003017,-0.026232,0.032320,0.018503,0.000068,-0.024591
0.003207,-0.027774,0.034186,0.019676,0.000076,-0.026088
0.003402,-0.029352,0.036095,0.020877,0.000081,-0.027620
0.003603,-0.030977,0.038079,0.022065,0.000088,-0.029167
0.003810,-0.032626,0.040074,0.023321,0.000096,-0.030768
0.004023,-0.034530,0.042784,0.023721,0.000104,-0.031975
0.004242,-0.036247,0.044860,0.025029,0.000113,-0.033642
0.004470,-0.037983,0.046932,0.026418,0.000458,-0.035367
0.004696,-0.039747,0.049033,0.027844,0.000163,-0.037130
0.004931,-0.041544,0.051175,0.029290,0.000143,-0.038921
0.005172,-0.043376,0.053368,0.030740,0.000154,-0.040733
0.005419,-0.045236,0.055593,0.032220,0.000169,-0.042576
0.005672,-0.047125,0.057850,0.033725,0.000179,-0.044450
0.005930,-0.049035,0.060117,0.035284,0.000192,-0.046367
0.006194,-0.050959,0.062377,0.036918,0.000206,-0.048336
0.006463,-0.052919,0.064696,0.038538,0.000221,-0.050315
0.006738,-0.054903,0.067039,0.040189,0.000236,-0.052324
0.007019,-0.056908,0.069401,0.041874,0.000253,-0.054368
0.007309,-0.058906,0.071692,0.043713,0.000663,-0.056499
0.007598,-0.060944,0.074059,0.045510,0.000288,-0.058626
0.007895,-0.063000,0.076436,0.047349,0.000307,-0.060786
0.008199,-0.065054,0.078766,0.049305,0.000334,-0.063018
0.008507,-0.067142,0.081156,0.051236,0.000348,-0.065251
0.008822,-0.069246,0.083556,0.053205,0.000335,-0.067516
0.009143,-0.071327,0.085847,0.055368,0.000494,-0.069890
0.009468,-0.073454,0.088235,0.057454,0.000416,-0.072235
0.009799,-0.075589,0.090613,0.059598,0.000441,-0.074623
0.010137,-0.077730,0.092974,0.061814,0.000530,-0.077058
0.010479,-0.079878,0.095317,0.064096,0.000495,-0.079536
0.010827,-0.082012,0.097587,0.066517,0.000552,-0.082094
0.011181,-0.084173,0.099906,0.068918,0.000550,-0.084651
0.011541,-0.086440,0.102509,0.070993,0.000583,-0.087062
0.011906,-0.088602,0.104766,0.073555,0.000615,-0.089720
0.012277,-0.090743,0.106931,0.076274,0.000928,-0.092464
0.012653,-0.093039,0.109531,0.078472,0.000683,-0.094965
0.013034,-0.095175,0.111627,0.081355,0.000719,-0.097808
0.013422,-0.097338,0.113776,0.084205,0.000912,-0.100644
0.013815,-0.099469,0.115806,0.087241,0.000797,-0.103579
0.014213,-0.101581,0.117756,0.090411,0.000839,-0.106588
0.014617,-0.103690,0.119676,0.093651,0.000882,-0.109639
0.015027,-0.105796,0.121566,0.096958,0.000926,-0.112730
0.015442,-0.107882,0.123377,0.100394,0.000973,-0.115892
0.015863,-0.109927,0.125053,0.104027,0.001014,-0.119156
0.016289,-0.111977,0.126724,0.107693,0.001072,-0.122443
0.016721,-0.113984,0.128254,0.111559,0.001125,-0.125832
0.017159,-0.116758,0.131974,0.112697,0.001169,-0.127917
0.017602,-0.118691,0.133257,0.116927,0.001226,-0.131496
0.018051,-0.120781,0.134976,0.120628,0.001286,-0.134828
0.018505,-0.122676,0.136129,0.125057,0.001345,-0.138514
0.018964,-0.124567,0.137259,0.129530,0.001408,-0.142226
0.019429,-0.126415,0.138264,0.134171,0.001474,-0.146024
0.019900,-0.128413,0.139678,0.138322,0.001539,-0.149592
0.020376,-0.130070,0.140136,0.143659,0.001612,-0.153730
0.020858,-0.131863,0.140971,0.148543,0.001685,-0.157656
0.021345,-0.133396,0.141084,0.154309,0.001763,-0.162002
0.021837,-0.134940,0.141231,0.160033,0.001835,-0.166330
0.022335,-0.136364,0.141060,0.166137,0.001929,-0.170840
0.022839,-0.137693,0.140639,0.172531,0.002016,-0.175485
0.023349,-0.139219,0.140757,0.178283,0.001966,-0.179824
0.023862,-0.140426,0.140035,0.185013,0.002198,-0.184631
0.024382,-0.141585,0.139200,0.191861,0.002309,-0.189486
0.024907,-0.142518,0.137786,0.199360,0.002399,-0.194637
0.025437,-0.143432,0.136349,0.206856,0.002504,-0.199784
0.025973,-0.144146,0.134417,0.214887,0.002616,-0.205169
0.026514,-0.144632,0.131932,0.223499,0.002733,-0.210810
0.027061,-0.145175,0.129631,0.231861,0.002851,-0.216329
0.027613,-0.145724,0.127380,0.240128,0.002972,-0.221796
0.028170,-0.145956,0.124369,0.249179,0.003100,-0.227606
0.028733,-0.146083,0.121139,0.258409,0.003232,-0.233481
0.029300,-0.145958,0.117336,0.268189,0.003370,-0.239583
